ENSG00000000003	X	99881802	99901802	-
ENSG00000000005	X	99829798	99849798	+
ENSG00000000419	20	49565086	49585086	-
ENSG00000000457	1	169853075	169873075	-
ENSG00000000460	1	169754549	169774549	+
ENSG00000000938	1	27951787	27971787	-
ENSG00000000971	1	196611007	196631007	+
ENSG00000001036	6	143822826	143842826	-
ENSG00000001084	6	53399926	53419926	-
ENSG00000001167	6	41030683	41050683	+
ENSG00000001460	1	24731586	24751586	-
ENSG00000001461	1	24732283	24752283	+
ENSG00000001497	X	64744635	64764635	-
ENSG00000001561	6	46087729	46107729	+
ENSG00000001617	3	50182561	50202561	+
ENSG00000001626	7	117110016	117130016	+
ENSG00000001629	7	91865547	91885547	+
ENSG00000001630	7	91753843	91773843	-
ENSG00000001631	7	91865413	91885413	-
ENSG00000002016	12	1048887	1068887	-
ENSG00000002330	11	64042110	64062110	-
ENSG00000002549	4	17568814	17588814	+
ENSG00000002586	X	2599219	2619219	+
ENSG00000002587	4	11421388	11441388	-
ENSG00000002726	7	150511714	150531714	+
ENSG00000002745	7	120959056	120979056	+
ENSG00000002746	7	43142197	43162197	+
ENSG00000002822	7	2262877	2282877	-
ENSG00000002834	17	37016111	37036111	+
ENSG00000002919	17	46174919	46194919	+
ENSG00000002933	7	150487490	150507490	+
ENSG00000003056	12	9092550	9112550	-
ENSG00000003096	X	117109242	117129242	-
ENSG00000003137	2	72365166	72385166	-
ENSG00000003147	7	8291910	8311910	-
ENSG00000003249	16	90066528	90086528	-
ENSG00000003393	2	202635911	202655911	-
ENSG00000003400	2	202037603	202057603	+
ENSG00000003402	2	201970826	201990826	+
ENSG00000003436	2	188409218	188429218	-
ENSG00000003509	2	37448808	37468808	+
ENSG00000003756	3	50116340	50136340	+
ENSG00000003987	8	17260835	17280835	-
ENSG00000003989	8	17386285	17406285	+
ENSG00000004059	7	127218398	127238398	+
ENSG00000004139	17	26688682	26708682	+
ENSG00000004142	17	26674472	26694472	-
ENSG00000004399	3	129315660	129335660	-
ENSG00000004455	1	33492592	33512592	-
ENSG00000004468	4	15769900	15789900	+
ENSG00000004478	12	2894118	2914118	+
ENSG00000004487	1	23335985	23355985	+
ENSG00000004534	3	49967465	49987465	+
ENSG00000004660	17	3786337	3806337	-
ENSG00000004700	12	21644526	21664526	-
ENSG00000004766	7	92851652	92871652	+
ENSG00000004776	19	36238979	36258979	-
ENSG00000004777	19	36256476	36276476	+
ENSG00000004779	16	23597611	23617611	-
ENSG00000004799	7	95215802	95235802	-
ENSG00000004809	6	110787843	110807843	-
ENSG00000004838	3	50374282	50394282	-
ENSG00000004846	7	20644829	20664829	+
ENSG00000004848	X	25024064	25044064	-
ENSG00000004864	7	95941458	95961458	-
ENSG00000004866	7	116583380	116603380	+
ENSG00000004897	17	45256541	45276541	-
ENSG00000004939	17	42335508	42355508	-
ENSG00000004948	7	93194041	93214041	-
ENSG00000004961	X	11119420	11139420	+
ENSG00000004975	17	7127863	7147863	-
ENSG00000005001	16	2898170	2918170	-
ENSG00000005007	19	18932746	18952746	+
ENSG00000005020	7	26894361	26914361	-
ENSG00000005022	X	118592362	118612362	+
ENSG00000005059	4	110471360	110491360	+
ENSG00000005073	7	27214834	27234834	-
ENSG00000005075	7	102109353	102129353	-
ENSG00000005100	17	5362379	5382379	-
ENSG00000005102	17	41729321	41749321	-
ENSG00000005108	7	11861823	11881823	-
ENSG00000005156	17	33297512	33317512	+
ENSG00000005175	12	48089843	48109843	-
ENSG00000005187	16	20765023	20785023	+
ENSG00000005189	16	20807820	20827820	+
ENSG00000005194	16	57471439	57491439	-
ENSG00000005238	9	35101570	35121570	-
ENSG00000005243	17	46105138	46125138	-
ENSG00000005249	7	106675093	106695093	+
ENSG00000005302	X	11766277	11786277	+
ENSG00000005339	16	3920726	3940726	-
ENSG00000005379	17	56395444	56415444	-
ENSG00000005381	17	56348295	56368295	-
ENSG00000005421	7	94944018	94964018	-
ENSG00000005436	2	75928114	75948114	-
ENSG00000005448	2	74638856	74658856	+
ENSG00000005469	7	86964996	86984996	+
ENSG00000005471	7	87095054	87115054	-
ENSG00000005483	7	104644625	104664625	+
ENSG00000005486	7	75498265	75518265	+
ENSG00000005513	16	1021807	1041807	+
ENSG00000005700	6	82947470	82967470	-
ENSG00000005801	11	3390396	3410396	-
ENSG00000005810	13	77890813	77910813	-
ENSG00000005812	13	77591284	77611284	-
ENSG00000005844	16	30473978	30493978	+
ENSG00000005882	17	48162638	48182638	+
ENSG00000005884	17	48123803	48143803	+
ENSG00000005889	X	24157861	24177861	+
ENSG00000005893	X	119593219	119613219	-
ENSG00000005955	17	34890736	34910736	+
ENSG00000005961	17	42456872	42476872	-
ENSG00000005981	7	95105212	95125212	+
ENSG00000006007	16	19523466	19543466	-
ENSG00000006015	19	18689534	18709534	+
ENSG00000006016	19	18707659	18727659	-
ENSG00000006025	17	45889135	45909135	-
ENSG00000006042	17	31244954	31264954	+
ENSG00000006047	17	7187882	7207882	-
ENSG00000006059	17	39497063	39517063	-
ENSG00000006071	11	17488391	17508391	-
ENSG00000006074	17	34381639	34401639	+
ENSG00000006075	17	34407486	34427486	-
ENSG00000006114	17	35959543	35979543	-
ENSG00000006116	16	24256873	24276873	+
ENSG00000006118	11	60681952	60701952	+
ENSG00000006125	17	33904340	33924340	+
ENSG00000006128	7	97351219	97371219	+
ENSG00000006194	16	3322942	3342942	+
ENSG00000006210	16	57396369	57416369	+
ENSG00000006282	17	48614449	48634449	+
ENSG00000006283	17	48628820	48648820	+
ENSG00000006327	16	3060312	3080312	+
ENSG00000006377	7	96624859	96644859	+
ENSG00000006432	14	71266250	71286250	-
ENSG00000006451	7	39653081	39673081	+
ENSG00000006453	7	98020379	98040379	-
ENSG00000006459	7	139866834	139886834	-
ENSG00000006468	7	14019570	14039570	-
ENSG00000006530	7	141240988	141260988	+
ENSG00000006534	11	67766047	67786047	+
ENSG00000006555	1	55256939	55276939	-
ENSG00000006576	7	77459446	77479446	+
ENSG00000006606	7	75409213	75429213	-
ENSG00000006607	2	242285657	242305657	+
ENSG00000006611	11	17555853	17575853	-
ENSG00000006625	7	30534459	30554459	-
ENSG00000006634	7	87495543	87515543	+
ENSG00000006638	19	3596657	3616657	-
ENSG00000006652	7	112080482	112100482	+
ENSG00000006659	19	40185120	40205120	+
ENSG00000006695	17	13962845	13982845	+
ENSG00000006704	7	73858299	73878299	+
ENSG00000006712	19	39871834	39891834	-
ENSG00000006715	7	38938828	38958828	-
ENSG00000006740	17	12682855	12702855	+
ENSG00000006744	17	12911503	12931503	-
ENSG00000006747	7	12600311	12620311	+
ENSG00000006756	X	2837391	2857391	-
ENSG00000006757	X	7885483	7905483	-
ENSG00000006788	17	10266446	10286446	-
ENSG00000006831	12	1790192	1810192	+
ENSG00000006837	5	133692764	133712764	-
ENSG00000007001	2	158723213	158743213	+
ENSG00000007038	16	2857227	2877227	+
ENSG00000007047	19	45744515	45764515	+
ENSG00000007062	4	16075323	16095323	-
ENSG00000007080	19	18035904	18055904	+
ENSG00000007129	19	42072600	42092600	+
ENSG00000007168	17	2487039	2507039	+
ENSG00000007171	17	26117524	26137524	-
ENSG00000007174	17	11491747	11511747	+
ENSG00000007202	17	26962148	26982148	-
ENSG00000007216	17	26790310	26810310	+
ENSG00000007237	17	10091867	10111867	-
ENSG00000007255	19	45671494	45691494	-
ENSG00000007264	19	3791809	3811809	-
ENSG00000007306	19	42182295	42202295	-
